         268633237 function calls (250394749 primitive calls) in 2069.588 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
14946676/14930123    2.733    0.000    2.739    0.000 {built-in method builtins.len}
       10    0.000    0.000    2.721    0.272 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\editors\dlg\model.py:1145(<lambda>)
    13906    0.058    0.000    2.617    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\__init__.py:1131(flush)
   111909    2.401    0.000    2.509    0.000 {built-in method _winapi.PeekNamedPipe}
      587    0.037    0.000    2.491    0.004 {function RobustAbstractItemView.wheelEvent at 0x00000261896C47D0}
    13906    2.416    0.000    2.470    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
  5202744    2.454    0.000    2.464    0.000 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd.py:853(accept_file)
      643    0.016    0.000    2.445    0.004 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\editors\jrl.py:185(refresh_entry_item)
11802867/11802861    2.190    0.000    2.412    0.000 {built-in method nt.fspath}
  441/440    0.027    0.000    2.398    0.005 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\widgets\main_widgets.py:845(queue_load_visible_icons)
  5521500    2.383    0.000    2.383    0.000 {method 'is_dir' of 'nt.DirEntry' objects}
       28    0.004    0.000    2.329    0.083 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\installation.py:1766(sounds)
   108647    2.030    0.000    2.283    0.000 {method 'cancel' of '_winapi.Overlapped' objects}
    50838    0.073    0.000    2.246    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\glob.py:471(select_recursive)
115209/115165    0.571    0.000    2.210    0.000 {method 'GetOverlappedResult' of '_winapi.Overlapped' objects}
      102    0.657    0.006    2.083    0.020 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\installation.py:1814(check_list)
    30949    0.762    0.000    2.050    0.000 {built-in method appendRow}
      440    0.980    0.002    1.952    0.004 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\widgets\main_widgets.py:672(visible_indexes)
    28/16    0.003    0.000    1.872    0.117 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\editor\base.py:734(play_byte_source_media)
